ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,SalesOrderNumber,SalesAmount,Reseller Name
365,20190105,20190105,20190105,676,SO46604,1943.982,Better Bike Shop
366,20190105,20190105,20190105,676,SO46604,4535.958,Better Bike Shop
367,20190105,20190105,20190105,676,SO46604,1943.982,Better Bike Shop
358,20190105,20190105,20190105,676,SO46604,4917.8356,Better Bike Shop
360,20190105,20190105,20190105,676,SO46604,3688.3767,Better Bike Shop
352,20190105,20190105,20190105,676,SO46604,3728.5554,Better Bike Shop
354,20190105,20190105,20190105,676,SO46604,4971.4072,Better Bike Shop
356,20190105,20190105,20190105,676,SO46604,1242.8518,Better Bike Shop
308,20190105,20190105,20190105,676,SO46604,2232.8181,Better Bike Shop
410,20190105,20190105,20190105,676,SO46604,72.894,Better Bike Shop
411,20190105,20190105,20190105,676,SO46604,501.66,Better Bike Shop
397,20190105,20190105,20190105,676,SO46604,24.2945,Better Bike Shop
399,20190105,20190105,20190105,676,SO46604,33.7745,Better Bike Shop
401,20190105,20190105,20190105,676,SO46604,196.8054,Better Bike Shop
419,20190105,20190105,20190105,676,SO46604,210.588,Better Bike Shop
420,20190105,20190105,20190105,676,SO46604,424.845,Better Bike Shop
421,20190105,20190105,20190105,676,SO46604,392.658,Better Bike Shop
297,20190105,20190105,20190105,676,SO46604,2944.582,Better Bike Shop
289,20190105,20190105,20190105,676,SO46604,744.2727,Better Bike Shop
230,20190105,20190105,20190105,676,SO46604,57.6808,Better Bike Shop
233,20190105,20190105,20190105,676,SO46604,201.8828,Better Bike Shop
236,20190105,20190105,20190105,676,SO46604,28.8404,Better Bike Shop
453,20190105,20190105,20190105,676,SO46604,107.982,Better Bike Shop
456,20190105,20190105,20190105,676,SO46604,359.952,Better Bike Shop
458,20190105,20190105,20190105,676,SO46604,134.982,Better Bike Shop
459,20190105,20190105,20190105,676,SO46604,107.988,Better Bike Shop
460,20190105,20190105,20190105,676,SO46604,269.97,Better Bike Shop
461,20190105,20190105,20190105,676,SO46604,161.982,Better Bike Shop
464,20190105,20190105,20190105,676,SO46604,42.3867,Better Bike Shop
468,20190105,20190105,20190105,676,SO46604,45.588,Better Bike Shop
469,20190105,20190105,20190105,676,SO46604,259.1222,Better Bike Shop
470,20190105,20190105,20190105,676,SO46604,337.4462,Better Bike Shop
224,20190105,20190105,20190105,676,SO46604,46.6785,Better Bike Shop
221,20190105,20190105,20190105,676,SO46604,45.4197,Better Bike Shop
448,20190105,20190105,20190105,676,SO46604,59.97,Better Bike Shop
213,20190105,20190105,20190105,676,SO46604,60.5596,Better Bike Shop
216,20190105,20190105,20190105,676,SO46604,60.5596,Better Bike Shop
236,20190105,20190105,20190105,622,SO46605,28.8404,Gift and Toy Store
224,20190105,20190105,20190105,622,SO46605,15.5595,Gift and Toy Store
286,20190105,20190105,20190105,622,SO46605,183.9382,Gift and Toy Store
458,20190105,20190105,20190105,622,SO46605,179.976,Gift and Toy Store
456,20190105,20190105,20190105,622,SO46605,179.976,Gift and Toy Store
329,20190105,20190105,20190105,622,SO46605,469.794,Gift and Toy Store
239,20190105,20190105,20190105,622,SO46605,780.8182,Gift and Toy Store
422,20190105,20190105,20190105,622,SO46605,135.078,Gift and Toy Store
263,20190105,20190105,20190105,622,SO46605,606.996,Gift and Toy Store
415,20190105,20190105,20190105,622,SO46605,198.036,Gift and Toy Store
333,20190105,20190105,20190105,622,SO46605,1409.382,Gift and Toy Store
216,20190105,20190105,20190105,622,SO46605,15.1399,Gift and Toy Store
233,20190105,20190105,20190105,622,SO46605,144.202,Gift and Toy Store
221,20190105,20190105,20190105,622,SO46605,30.2798,Gift and Toy Store
433,20190105,20190105,20190105,622,SO46605,973.3581,Gift and Toy Store
213,20190105,20190105,20190105,622,SO46605,30.2798,Gift and Toy Store
271,20190105,20190105,20190105,622,SO46605,404.664,Gift and Toy Store
460,20190105,20190105,20190105,622,SO46605,161.982,Gift and Toy Store
230,20190105,20190105,20190105,510,SO46606,57.6808,World Bike Discount Store
369,20190105,20190105,20190105,227,SO46607,5864.04,"Health Spa, Limited"
335,20190105,20190105,20190105,227,SO46607,2348.97,"Health Spa, Limited"
327,20190105,20190105,20190105,227,SO46607,493.2837,"Health Spa, Limited"
373,20190105,20190105,20190105,227,SO46607,13089.375,"Health Spa, Limited"
407,20190105,20190105,20190105,227,SO46607,262.4072,"Health Spa, Limited"
